Timestamp,Source,Level,Line
16:53:21.6220,Advertising Interval,Normal,"45.41 ms"
16:53:21.6680,RSSI,Normal,"-78 dBm"
16:53:21.6680,Advertising Interval,Normal,"45.17 ms"
16:53:21.7170,RSSI,Normal,"-74 dBm"
16:53:21.7170,Advertising Interval,Normal,"49.92 ms"
16:53:21.8040,RSSI,Normal,"-70 dBm"
16:53:21.8040,Advertising Interval,Normal,"86.73 ms"
16:53:21.8600,RSSI,Normal,"-68 dBm"
16:53:21.8600,Advertising Interval,Normal,"50.74 ms"
16:53:21.8600,RSSI,Normal,"-68 dBm"
16:53:21.8600,Advertising Interval,Normal,"51.92 ms"
16:53:21.9000,RSSI,Normal,"-76 dBm"
16:53:21.9000,Advertising Interval,Normal,"44.50 ms"
16:53:21.9440,RSSI,Normal,"-69 dBm"
16:53:21.9440,Advertising Interval,Normal,"43.94 ms"
16:53:21.9950,RSSI,Normal,"-68 dBm"
16:53:21.9950,Advertising Interval,Normal,"50.23 ms"
16:53:22.0350,RSSI,Normal,"-79 dBm"
16:53:22.0350,Advertising Interval,Normal,"40.26 ms"
16:53:22.1250,RSSI,Normal,"-78 dBm"
16:53:22.1250,Advertising Interval,Normal,"89.95 ms"
16:53:22.1730,RSSI,Normal,"-70 dBm"
16:53:22.1730,Advertising Interval,Normal,"48.57 ms"
16:53:22.3130,RSSI,Normal,"-76 dBm"
16:53:22.3130,Advertising Interval,Normal,"139.93 ms"
16:53:22.3590,RSSI,Normal,"-73 dBm"
16:53:22.3590,Advertising Interval,Normal,"45.62 ms"
16:53:22.3590,RSSI,Normal,"-73 dBm"
16:53:22.3600,Advertising Interval,Normal,"46.03 ms"
16:53:22.4010,RSSI,Normal,"-67 dBm"
16:53:22.4010,Advertising Interval,Normal,"42.12 ms"
16:53:22.4430,RSSI,Normal,"-75 dBm"
16:53:22.4430,Advertising Interval,Normal,"41.33 ms"
16:53:22.4920,RSSI,Normal,"-76 dBm"
16:53:22.4920,Advertising Interval,Normal,"49.12 ms"
16:53:22.5810,RSSI,Normal,"-69 dBm"
16:53:22.5810,Advertising Interval,Normal,"89.07 ms"
16:53:22.6260,RSSI,Normal,"-66 dBm"
16:53:22.6260,Advertising Interval,Normal,"45.34 ms"
16:53:22.6670,RSSI,Normal,"-79 dBm"
16:53:22.6670,Advertising Interval,Normal,"40.92 ms"
16:53:22.7140,RSSI,Normal,"-75 dBm"
16:53:22.7140,Advertising Interval,Normal,"46.66 ms"
16:53:22.7570,RSSI,Normal,"-67 dBm"
16:53:22.7580,Advertising Interval,Normal,"43.63 ms"
16:53:22.8020,RSSI,Normal,"-79 dBm"
16:53:22.8020,Advertising Interval,Normal,"44.49 ms"
16:53:22.8440,RSSI,Normal,"-74 dBm"
